Visi studentai:
Vardas    Pavarde      vidurkis     mediana
vardas1   pavarde1        6.6          8
vardas2   pavarde2       8.52          8
vardas3   pavarde3        5.3          2
vardas4   pavarde4       7.06          7
vardas5   pavarde5       9.01          9
vardas6   pavarde6        9.4          9
vardas7   pavarde7       7.28          6
vardas8   pavarde8       8.26          9
vardas9   pavarde9       4.45          2
vardas10  pavarde10       4.69          3
vardas11  pavarde11       6.94          5
vardas12  pavarde12       5.79          3
vardas13  pavarde13       6.96          6
vardas14  pavarde14       2.79          1
vardas15  pavarde15       9.16          9
vardas16  pavarde16       6.23          4
vardas17  pavarde17       6.45          3
vardas18  pavarde18       6.89          7
vardas19  pavarde19       5.58          2
vardas20  pavarde20       7.52          6
vardas21  pavarde21        8.9          8
vardas22  pavarde22       7.18          5
vardas23  pavarde23       8.64          7
vardas24  pavarde24       5.73          3
vardas25  pavarde25       5.75          3
vardas26  pavarde26       6.15          3
vardas27  pavarde27       8.43          9
vardas28  pavarde28       7.09          5
vardas29  pavarde29       7.62          6
vardas30  pavarde30       7.92          8
vardas31  pavarde31       6.18          5
vardas32  pavarde32       7.44          5
vardas33  pavarde33       6.89          7
vardas34  pavarde34       7.78          8
vardas35  pavarde35       5.96          3
vardas36  pavarde36       6.59          5
vardas37  pavarde37       4.92          2
vardas38  pavarde38       7.58          8
vardas39  pavarde39       7.32          6
vardas40  pavarde40       9.06          8
vardas41  pavarde41       4.21          2
vardas42  pavarde42       5.44          5
vardas43  pavarde43       3.89          3
vardas44  pavarde44       6.38          8
vardas45  pavarde45       8.48          7
vardas46  pavarde46        8.1          6
vardas47  pavarde47       7.42          7
vardas48  pavarde48       7.68          7
vardas49  pavarde49       7.34          7
vardas50  pavarde50       6.27          4
vardas51  pavarde51       6.45          6
vardas52  pavarde52       8.29          8
vardas53  pavarde53       5.86          3
vardas54  pavarde54       8.77          8
vardas55  pavarde55       7.75          8
vardas56  pavarde56       6.55          5
vardas57  pavarde57       8.71          9
vardas58  pavarde58       8.34          7
vardas59  pavarde59       8.87          7
vardas60  pavarde60       7.57          7
vardas61  pavarde61       9.31          9
vardas62  pavarde62       8.06          7
vardas63  pavarde63       6.01          3
vardas64  pavarde64        8.2          7
vardas65  pavarde65       8.64          8
vardas66  pavarde66       7.73          8
vardas67  pavarde67       7.15          5
vardas68  pavarde68       5.63          3
